person,trial,times,events,block
1,31,1367,targOff,2
1,32,833,dotRemoved,2
1,32,933,targOn,2
1,32,968,targOff,2
1,33,1229,dotRemoved,2
1,33,1328,targOn,2
1,33,1363,targOff,2
1,34,1199,dotRemoved,2
1,34,1299,targOn,2
1,34,1333,targOff,2
1,35,1098,dotRemoved,2
1,35,1198,targOn,2
1,35,1232,targOff,2
1,36,979,dotRemoved,2
1,36,1079,targOn,2
1,36,1113,targOff,2
1,37,1199,dotRemoved,2
1,37,1299,targOn,2
1,37,1333,targOff,2
1,38,1083,dotRemoved,2
1,38,1183,targOn,2
1,38,1217,targOff,2
1,39,779,dotRemoved,2
1,39,879,targOn,2
1,39,913,targOff,2
1,40,882,dotRemoved,2
1,40,982,targOn,2
1,40,1016,targOff,2
1,1,975,dotRemoved,3
1,1,1083,targOn,3
1,1,1117,targOff,3
1,2,1024,dotRemoved,3
1,2,1166,targOn,3
1,2,1200,targOff,3
1,3,957,dotRemoved,3
1,3,1066,targOn,3
1,3,1100,targOff,3
1,4,1070,dotRemoved,3
1,4,1179,targOn,3
1,4,1213,targOff,3
1,5,1124,dotRemoved,3
1,5,1216,targOn,3
1,5,1250,targOff,3
1,6,1204,dotRemoved,3
1,6,1296,targOn,3
1,6,1330,targOff,3
1,7,955,dotRemoved,3
1,7,1047,targOn,3
1,7,1081,targOff,3
1,9,1222,dotRemoved,3
1,9,1314,targOn,3
1,9,1348,targOff,3
1,10,1140,dotRemoved,3
1,10,1232,targOn,3
1,10,1266,targOff,3
1,11,858,dotRemoved,3
1,11,949,targOn,3
1,11,984,targOff,3
1,12,1057,dotRemoved,3
1,12,1149,targOn,3
1,12,1183,targOff,3
1,13,1074,dotRemoved,3
1,13,1182,targOn,3
1,13,1217,targOff,3
1,14,991,dotRemoved,3
1,14,1083,targOn,3
1,14,1117,targOff,3
1,15,1258,dotRemoved,3
1,15,1350,targOn,3
1,15,1384,targOff,3
1,16,958,dotRemoved,3
1,16,1066,targOn,3
1,16,1100,targOff,3
1,17,769,dotRemoved,3
1,17,861,targOn,3
1,17,895,targOff,3
1,18,1241,dotRemoved,3
1,18,1333,targOn,3
1,18,1367,targOff,3
1,19,791,dotRemoved,3
1,19,882,targOn,3
1,19,917,targOff,3
1,20,1224,dotRemoved,3
1,20,1332,targOn,3
1,20,1366,targOff,3
1,21,1124,dotRemoved,3
1,21,1233,targOn,3
1,21,1267,targOff,3
1,22,1087,dotRemoved,3
1,22,1179,targOn,3
1,22,1213,targOff,3
1,23,1124,dotRemoved,3
1,23,1216,targOn,3
1,23,1250,targOff,3
1,25,1174,dotRemoved,3
1,25,1282,targOn,3
1,25,1316,targOff,3
1,26,1073,dotRemoved,3
1,26,1165,targOn,3
1,26,1200,targOff,3
1,27,1074,dotRemoved,3
1,27,1183,targOn,3
1,27,1217,targOff,3
1,28,1270,dotRemoved,3
1,28,1362,targOn,3
1,28,1396,targOff,3
1,29,941,dotRemoved,3
1,29,1050,targOn,3
1,29,1084,targOff,3
1,30,1253,dotRemoved,3
1,30,1345,targOn,3
1,30,1379,targOff,3
1,31,824,dotRemoved,3
1,31,933,targOn,3
1,31,967,targOff,3
1,32,1219,dotRemoved,3
1,32,1311,targOn,3
1,32,1345,targOff,3
1,33,1072,dotRemoved,3
1,33,1163,targOn,3
1,33,1198,targOff,3
1,34,940,dotRemoved,3
1,34,1032,targOn,3
1,34,1067,targOff,3
1,35,1140,dotRemoved,3
1,35,1249,targOn,3
1,35,1283,targOff,3
1,36,1240,dotRemoved,3
1,36,1332,targOn,3
1,36,1367,targOff,3
1,37,774,dotRemoved,3
1,37,866,targOn,3
1,37,900,targOff,3
1,38,908,dotRemoved,3
1,38,999,targOn,3
1,38,1034,targOff,3
1,39,1091,dotRemoved,3
1,39,1199,targOn,3
1,39,1233,targOff,3
1,40,1203,dotRemoved,3
1,40,1295,targOn,3
1,40,1330,targOff,3
1,1,1083,dotRemoved,4
1,1,1183,targOn,4
1,1,1217,targOff,4
1,2,949,dotRemoved,4
1,2,1049,targOn,4
1,2,1083,targOff,4
1,3,1000,dotRemoved,4
1,3,1099,targOn,4
1,3,1133,targOff,4
1,4,1000,dotRemoved,4
1,4,1099,targOn,4
1,4,1134,targOff,4
1,5,1133,dotRemoved,4
1,5,1232,targOn,4
1,5,1267,targOff,4
1,6,1234,dotRemoved,4
1,6,1333,targOn,4
1,6,1368,targOff,4
1,7,783,dotRemoved,4
1,7,882,targOn,4
1,7,917,targOff,4
1,8,1250,dotRemoved,4
1,8,1350,targOn,4
1,8,1384,targOff,4
1,9,1250,dotRemoved,4
1,9,1349,targOn,4
1,9,1383,targOff,4
1,10,832,dotRemoved,4
1,10,932,targOn,4
1,10,966,targOff,4
1,11,950,dotRemoved,4
1,11,1050,targOn,4
