person blockN blockType trial flankerSide targetSide respG respC targOri saccStart targDisplayLat targOnTimeStamp targOffTimeStamp
13 1 1 1 both left 1 up up 0.074981 0.100000 1.414593 1.447910
13 1 1 2 none right 1 left left 0.000000 0.020000 1.664710 1.697982
13 1 1 3 both right 1 down down 0.000000 0.020000 1.664658 1.697989
13 1 1 4 both left 1 right right 0.000000 0.020000 1.247999 1.281309
13 1 1 5 none left 1 down down 0.000000 0.020000 1.414718 1.448004
13 1 1 6 inner right NaN NaN left NaN 0.020000 1.664745 1.697980
13 1 1 7 outer left 1 down down 0.000000 0.020000 1.247958 1.281215
13 1 1 8 inner right 1 down down 0.000000 0.020000 1.494330 1.527574
13 1 1 9 both right 1 right right 0.000000 0.020000 1.664655 1.698007
13 1 1 10 inner left NaN NaN left NaN 0.020000 1.247947 1.281264
13 1 1 11 both left NaN NaN left NaN 0.020000 0.000000 0.000000
13 1 1 12 inner right NaN NaN down NaN 0.020000 1.581390 1.614702
13 1 1 13 outer left 1 right right 0.000000 0.020000 1.664604 1.697847
13 1 1 14 outer left 1 down down 0.000000 0.020000 1.581273 1.614522
13 1 1 15 both right 1 right right 0.000000 0.020000 1.331391 1.364644
13 1 1 16 both right NaN NaN right NaN 0.020000 1.664651 1.697986
13 1 1 17 none right 1 down down 0.000000 0.020000 1.247903 1.281213
13 1 1 18 none right 1 left left 0.000000 0.020000 1.598049 1.631354
13 1 1 19 outer right NaN NaN up NaN 0.020000 1.413618 1.446919
13 1 1 20 outer right 1 up up 0.000000 0.020000 1.664689 1.697863
13 1 1 21 outer right NaN NaN left NaN 0.020000 1.664674 1.697985
13 1 1 22 none right 1 left left 0.000000 0.020000 1.681112 1.714446
13 1 1 23 both right NaN NaN down NaN 0.020000 1.498032 1.531295
13 1 1 24 none right NaN NaN left NaN 0.020000 1.664558 1.697878
13 1 1 25 inner right 1 down down 0.000000 0.020000 1.331668 1.364997
13 1 1 26 both left 1 down down 0.000000 0.020000 1.664535 1.697870
13 1 1 27 inner left NaN NaN up NaN 0.020000 1.664792 1.714697
13 1 1 28 none left NaN NaN left NaN 0.020000 1.681233 1.714577
13 1 1 29 inner right NaN NaN left NaN 0.020000 1.497846 1.531158
13 1 1 30 outer left NaN NaN left NaN 0.020000 1.331385 1.364647
13 1 1 31 outer right NaN NaN left NaN 0.020000 1.414621 1.447855
13 1 1 32 inner right NaN NaN down NaN 0.020000 1.331376 1.364725
13 1 1 33 none left NaN NaN down NaN 0.020000 1.498021 1.531261
13 1 1 34 none right NaN NaN down NaN 0.020000 0.000000 0.000000
13 1 1 35 none right 1 up up 0.000000 0.020000 1.331383 1.364643
13 1 1 36 inner left 1 right down 0.000000 0.020000 1.581324 1.614643
13 1 1 37 both right NaN NaN down NaN 0.020000 0.000000 0.000000
13 1 1 38 outer left 1 up up 0.000000 0.020000 1.331364 1.364684
13 1 1 39 inner right 1 left down 0.000000 0.020000 1.414647 1.448015
13 1 1 40 both left 1 up up 0.000000 0.020000 1.664490 1.697747
13 1 1 41 inner left NaN NaN up NaN 0.020000 1.414495 1.447834
13 1 1 42 outer left NaN NaN up NaN 0.020000 1.247988 1.281299
13 1 1 43 inner right NaN NaN down NaN 0.020000 1.431764 1.465030
13 1 1 44 none right 0 up up 0.000000 0.020000 1.348595 1.381912
13 1 1 45 none right NaN NaN left NaN 0.020000 1.414568 1.447944
13 1 1 46 outer left 1 up up 0.000000 0.020000 1.331296 1.364610
13 1 1 47 both right NaN NaN left NaN 0.020000 1.498034 1.531296
13 1 1 48 outer right NaN NaN up NaN 0.020000 1.331271 1.364526
13 2 2 1 both right 1 left up NaN 0.020000 1.518505 1.564620
13 2 2 2 both right 1 left right NaN 0.020000 1.331328 1.364597
13 2 2 3 none right 1 right right NaN 0.020000 1.581271 1.614556
13 2 2 4 inner right 1 down down NaN 0.020000 1.598030 1.631296
13 2 2 5 both right 1 right right NaN 0.020000 1.497909 1.531283
13 2 2 6 none left 1 down down NaN 0.020000 1.331358 1.364634
13 2 2 7 none left 1 left left NaN 0.020000 1.247898 1.281301
13 2 2 8 outer left 1 right left NaN 0.020000 1.247962 1.281208
13 2 2 9 outer right 1 left left NaN 0.020000 1.597983 1.631376
13 2 2 10 none right 1 left left NaN 0.020000 1.347908 1.381209
13 2 2 11 both left 0 up up NaN 0.020000 1.431330 1.464617
13 2 2 12 outer left 1 left left NaN 0.020000 1.598028 1.631280
13 2 2 13 both left 1 up up NaN 0.020000 1.581241 1.614532
13 2 2 14 inner left 1 down down NaN 0.020000 1.576686 1.609972
13 2 2 15 none right 1 down down NaN 0.020000 1.581305 1.614614
13 2 2 16 inner right 1 down down NaN 0.020000 1.331351 1.364613
13 2 2 17 inner right 1 down right NaN 0.020000 1.331273 1.364603
13 2 2 18 inner right 1 right right NaN 0.020000 1.331641 1.364949
13 2 2 19 inner left 1 right right NaN 0.020000 1.414939 1.448151
13 2 2 20 both right 1 up down NaN 0.020000 1.331778 1.365078
13 2 2 21 both left 1 right right NaN 0.020000 1.514603 1.547948
13 2 2 22 inner left NaN NaN down NaN 0.020000 0.000000 0.000000
13 2 2 23 outer left 1 right left NaN 0.020000 1.331408 1.364649
13 2 2 24 none right 1 down down NaN 0.020000 1.264533 1.297790
13 2 2 25 none left 1 left left NaN 0.020000 1.414693 1.447938
13 2 2 26 outer left 1 up up NaN 0.020000 1.664631 1.697913
13 2 2 27 both left 0 left left NaN 0.020000 1.597952 1.631363
13 2 2 28 outer left 0 down down NaN 0.020000 1.347875 1.381290
13 2 2 29 inner left 1 right right NaN 0.020000 1.264635 1.297947
13 2 2 30 both right 1 right down NaN 0.020000 1.414698 1.447974
13 2 2 31 both right 1 down down NaN 0.020000 1.414616 1.447970
13 2 2 32 none left 1 up up NaN 0.020000 1.681234 1.714553
13 2 2 33 inner right 1 right right NaN 0.020000 1.681299 1.714620
13 2 2 34 inner left 1 up up NaN 0.020000 1.681192 1.714504
13 2 2 35 outer right 1 down down NaN 0.020000 1.431336 1.464701
13 2 2 36 outer left 1 down down NaN 0.020000 1.264616 1.297930
13 2 2 37 outer right 1 right left NaN 0.020000 1.598044 1.631312
13 2 2 38 none right 1 up up NaN 0.020000 1.497943 1.531228
13 2 2 39 none left 1 down down NaN 0.020000 1.514601 1.547889
13 2 2 40 none left 1 down down NaN 0.020000 1.431291 1.464561
13 2 2 41 inner right NaN NaN right NaN 0.020000 0.000000 0.000000
13 2 2 42 none left 1 up up NaN 0.020000 1.431363 1.464711
13 2 2 43 outer left 1 right right NaN 0.020000 1.580135 1.613371
13 2 2 44 inner left 1 up up NaN 0.020000 1.348031 1.381276
13 2 2 45 outer left 0 up up NaN 0.020000 1.514663 1.548013
13 2 2 46 both left 1 right right NaN 0.020000 1.681366 1.714631
13 2 2 47 outer right 1 up right NaN 0.020000 1.431275 1.464609
13 2 2 48 both right 1 up right NaN 0.020000 1.429245 1.462558
