person blockN blockType trial flankerSide targetSide respG respC targOri saccStart targOnTimeStamp targOffTimeStamp
11 1 1 1 both left 1 left left 0.072410 1.748636 1.781957
11 1 1 2 inner right 1 down up 0.000000 1.581370 1.614626
11 1 1 3 both right 1 down down 0.000000 1.581371 1.614638
11 1 1 4 none left 1 down down 0.000000 1.681237 1.714555
11 1 1 5 inner right 1 down down 0.000000 1.247963 1.281289
11 1 1 6 both right 1 down left 0.000000 1.581515 1.614760
11 1 1 7 outer right 1 left left 0.000000 1.664708 1.697960
11 1 1 8 outer left 1 right up 0.000000 1.497906 1.531139
11 1 1 9 none right NaN NaN right NaN 0.000000 0.000000
11 1 1 10 none right 1 down down 0.000000 1.664708 1.697974
11 1 1 11 outer left 1 right up 0.000000 1.331363 1.364610
11 1 1 12 outer left NaN NaN up NaN 0.000000 0.000000
11 1 1 13 outer right 1 right right 0.000000 1.245669 1.279011
11 1 1 14 inner left 1 right down 0.000000 1.245194 1.278448
11 1 1 15 inner right 1 up up 0.000000 1.498049 1.531320
11 1 1 16 inner right 1 right right 0.000000 1.581275 1.614591
11 1 1 17 outer right NaN NaN up NaN 0.000000 0.000000
11 1 1 18 inner right 1 up up 0.000000 1.243546 1.276797
11 1 1 19 none right 1 right down 0.525269 1.664568 1.697915
11 1 1 20 none right 1 up down 0.458756 1.248012 1.298268
11 1 1 21 both right 1 down down 0.000000 1.414698 1.448031
11 1 1 22 inner left 1 right down 0.000000 1.414611 1.447936
11 1 1 23 outer right 1 right right 0.000000 1.681280 1.714604
11 1 1 24 inner left 1 up up 0.000000 1.331374 1.364620
11 1 1 25 outer left 1 right right 0.000000 1.264646 1.298035
11 1 1 26 inner left 1 left left 0.000000 1.497975 1.531287
11 1 1 27 inner left 1 right right 0.000000 1.664740 1.698046
11 1 1 28 outer right 0 down up 0.416493 1.247882 1.281127
11 1 1 29 none left 1 up up 0.000000 1.581379 1.614705
11 1 1 30 outer left 1 left left 0.000000 1.248020 1.281287
11 1 1 31 both right NaN NaN down NaN 0.000000 0.000000
11 1 1 32 none right 1 down down 0.000000 1.331343 1.364685
11 1 1 33 inner right 1 down right 0.000000 1.498952 1.532173
11 1 1 34 both left 1 right up 0.000000 1.664610 1.697924
11 1 1 35 both right 1 up up 0.000000 1.264528 1.297849
11 1 1 36 both left NaN NaN down NaN 0.000000 0.000000
11 1 1 37 none left 1 right down 0.000000 1.264666 1.297902
11 1 1 38 outer right 1 up up 0.000000 1.431368 1.464698
11 1 1 39 none left 1 down down 0.000000 1.264595 1.297856
11 1 1 40 none left 1 right right 0.000000 1.581313 1.631272
11 1 1 41 both left 1 right left 0.000000 1.664617 1.697946
11 1 1 42 both left 1 right down 0.000000 1.347929 1.381253
11 1 1 43 both right NaN NaN down NaN 0.000000 0.000000
11 1 1 44 inner left 1 left left 0.000000 1.581324 1.614589
11 1 1 45 none right NaN NaN left NaN 1.264689 1.297954
11 1 1 46 both left 1 left left 0.000000 1.331304 1.364608
11 1 1 47 outer right 1 right right 0.000000 1.431378 1.464706
11 1 1 48 none left 1 left left 0.000000 1.664688 1.697947
11 2 2 1 none right 1 down down NaN 1.262465 1.295769
11 2 2 2 both left 1 left down NaN 1.498351 1.531550
11 2 2 3 outer right 1 up up NaN 1.348014 1.381291
11 2 2 4 none left NaN NaN right NaN 0.000000 0.000000
11 2 2 5 both left 1 right left NaN 1.497977 1.531286
11 2 2 6 both left 1 up up NaN 1.498686 1.532009
11 2 2 7 both right NaN NaN up NaN 1.497941 1.531282
11 2 2 8 outer right 1 down down NaN 1.514623 1.547890
11 2 2 9 none left 1 up right NaN 1.447947 1.481294
11 2 2 10 inner right 1 right down NaN 1.264706 1.297956
11 2 2 11 outer right 1 left down NaN 1.347928 1.381260
11 2 2 12 both right 1 down up NaN 1.414531 1.447855
11 2 2 13 both right 1 up up NaN 1.581368 1.614606
11 2 2 14 both right NaN NaN left NaN 0.000000 0.000000
11 2 2 15 inner left 1 down down NaN 1.347934 1.381232
11 2 2 16 inner left 1 down right NaN 1.248022 1.281272
11 2 2 17 none left 1 up right NaN 1.331372 1.364581
11 2 2 18 inner right NaN NaN right NaN 0.000000 0.000000
11 2 2 19 none left 0 up up NaN 1.264733 1.297992
11 2 2 20 outer left 1 right right NaN 1.331671 1.364985
11 2 2 21 outer left 1 left left NaN 1.514662 1.547929
11 2 2 22 inner left 1 right down NaN 1.581306 1.614633
11 2 2 23 inner right 1 left left NaN 1.664683 1.698048
11 2 2 24 inner left 1 up up NaN 1.414714 1.447975
11 2 2 25 inner left 1 down down NaN 1.331310 1.364628
11 2 2 26 inner left 1 down down NaN 1.414639 1.447965
11 2 2 27 outer right 1 left up NaN 1.415401 1.448732
11 2 2 28 both left 1 up up NaN 1.332175 1.365484
11 2 2 29 both right 1 right left NaN 1.431362 1.464698
11 2 2 30 inner right 1 down right NaN 1.414680 1.448004
11 2 2 31 none left NaN NaN down NaN 0.000000 0.000000
11 2 2 32 none right 1 left left NaN 1.247916 1.281182
11 2 2 33 none right 1 up right NaN 1.664942 1.698286
11 2 2 34 both left 1 left left NaN 1.247972 1.281373
11 2 2 35 inner left 1 left down NaN 1.664544 1.697867
11 2 2 36 none right 1 left down NaN 1.664743 1.698016
11 2 2 37 none right 1 up left NaN 1.581238 1.614572
11 2 2 38 outer left 1 left left NaN 1.497133 1.530393
11 2 2 39 outer left 1 left down NaN 1.497978 1.531228
11 2 2 40 none left 1 right right NaN 1.514725 1.548004
11 2 2 41 both right 1 down right NaN 1.414622 1.448027
11 2 2 42 both right 1 up left NaN 1.514626 1.547948
11 2 2 43 outer left 1 up up NaN 1.681279 1.714546
11 2 2 44 outer right 1 left up NaN 1.414707 1.447964
11 2 2 45 outer left 1 right down NaN 1.414676 1.448033
11 2 2 46 inner left 1 down right NaN 1.497949 1.531296
11 2 2 47 none right 1 up up NaN 1.414735 1.447937
11 2 2 48 outer right 1 down down NaN 1.414622 1.447952
11 3 1 1 inner right 1 left left 0.000000 1.414572 1.447903
11 3 1 2 both left 1 right down 0.000000 1.497978 1.531299
11 3 1 3 both right NaN NaN left NaN 0.000000 0.000000
11 3 1 4 outer right 1 left left 0.000000 1.581306 1.614633
11 3 1 5 outer left 1 left left 0.000000 1.331369 1.364664
11 3 1 6 none left NaN NaN up NaN 1.581291 1.614548
11 3 1 7 inner left NaN NaN up NaN 1.264697 1.298033
11 3 1 8 none left 1 right right 0.000000 1.498015 1.531277
11 3 1 9 inner right 1 down down 0.000000 1.431395 1.464656
11 3 1 10 none right 1 left left 0.000000 1.248015 1.281278
11 3 1 11 outer left 1 right down 0.000000 1.598924 1.632171
11 3 1 12 none right 1 down left 0.000000 1.264698 1.297946
11 3 1 13 none left 1 left left 0.000000 1.348054 1.381290
11 3 1 14 outer right NaN NaN right NaN 1.414534 1.447788
11 3 1 15 inner right NaN NaN left NaN 0.000000 0.000000
11 3 1 16 inner right NaN NaN right NaN 0.000000 0.000000
11 3 1 17 inner left 1 right down 0.000000 1.664598 1.697875
11 3 1 18 outer right 1 up up 0.000000 1.331169 1.364474
11 3 1 19 none left 1 right up 0.000000 1.331816 1.365072
11 3 1 20 both right 1 down right 0.525015 1.331359 1.364626
11 3 1 21 both right 1 left left 0.000000 1.498021 1.531306
11 3 1 22 both right 1 up up 0.000000 1.664693 1.697948
11 3 1 23 both left 1 right down 0.000000 1.414710 1.448051
11 3 1 24 inner right 1 left left 0.000000 1.681321 1.714712
11 3 1 25 outer right 1 right right 0.000000 1.414673 1.448025
11 3 1 26 outer left 1 right down 0.000000 1.497896 1.531156
11 3 1 27 inner right NaN NaN down NaN 0.000000 0.000000
11 3 1 28 inner right 1 up right 0.435646 1.431395 1.464752
11 3 1 29 outer right 1 right right 0.000000 1.248028 1.281278
11 3 1 30 both left 1 right up 0.000000 1.331341 1.381337
11 3 1 31 both right 1 down down 0.000000 1.248045 1.281316
11 3 1 32 both right 1 right right 0.000000 1.497994 1.531328
11 3 1 33 inner left 1 left left 0.000000 1.581367 1.614629
11 3 1 34 outer right 1 up up 0.000000 1.614684 1.647940
11 3 1 35 none right NaN NaN right NaN 0.000000 0.000000
11 3 1 36 outer left 1 down down 0.000000 1.248055 1.281414
11 3 1 37 none left 1 up up 0.000000 1.431282 1.464621
11 3 1 38 outer right 1 up up 0.000000 1.331254 1.364573
11 3 1 39 both left 1 down down 0.000000 1.665169 1.698458
11 3 1 40 inner left 1 right right 0.000000 1.247962 1.281303
11 3 1 41 outer right 1 down down 0.000000 1.432165 1.465491
11 3 1 42 none right 1 down right 0.000000 1.248052 1.281311
11 3 1 43 both right 1 right right 0.000000 1.414702 1.464964
11 3 1 44 inner left NaN NaN up NaN 1.664696 1.698008
11 3 1 45 none right NaN NaN left NaN 0.000000 0.000000
11 3 1 46 none left 1 left left 0.000000 1.364627 1.397956
11 3 1 47 none right 1 up up 0.000000 1.697962 1.731294
11 3 1 48 both left 1 up up 0.000000 1.681299 1.714707
11 4 2 1 inner left 1 right up NaN 1.414573 1.447892
11 4 2 2 both left 1 right right NaN 1.581247 1.614570
11 4 2 3 both right 1 down down NaN 1.414678 1.448013
11 4 2 4 none right 1 left left NaN 1.331887 1.365104
11 4 2 5 none left NaN NaN left NaN 0.000000 0.000000
11 4 2 6 outer left 1 left left NaN 1.498061 1.531409
11 4 2 7 inner left 1 left left NaN 1.581355 1.614641
11 4 2 8 none left 1 left left NaN 1.498064 1.531297
11 4 2 9 outer right 1 up right NaN 1.681213 1.714470
11 4 2 10 outer left 1 down down NaN 1.681331 1.714587
11 4 2 11 none left 1 left left NaN 1.498077 1.531311
11 4 2 12 inner left 1 right right NaN 1.414691 1.448027
11 4 2 13 outer right 0 right right NaN 1.331312 1.364561
11 4 2 14 inner right 1 down down NaN 1.664647 1.697883
11 4 2 15 both right 1 down down NaN 1.414546 1.447936
11 4 2 16 none left 0 left left NaN 1.662644 1.696027
11 4 2 17 outer right NaN NaN right NaN 0.000000 0.000000
11 4 2 18 outer right 1 down down NaN 1.581251 1.614610
11 4 2 19 both right NaN NaN down NaN 0.000000 0.000000
11 4 2 20 both right 1 left right NaN 1.662387 1.695580
11 4 2 21 outer right 1 left up NaN 1.331348 1.364679
11 4 2 22 inner left 1 up up NaN 1.414626 1.447956
11 4 2 23 inner right 1 left left NaN 1.497953 1.531207
11 4 2 24 none left 1 down down NaN 1.681305 1.714620
11 4 2 25 outer left 0 up up NaN 1.248087 1.281303
11 4 2 26 inner right NaN NaN down NaN 1.664623 1.698031
11 4 2 27 both right 1 left left NaN 1.680661 1.713952
11 4 2 28 inner left 1 up down NaN 1.431375 1.464623
11 4 2 29 inner right 1 down down NaN 1.247940 1.281368
11 4 2 30 outer left 1 down down NaN 1.498053 1.531327
11 4 2 31 none right 1 up up NaN 1.248017 1.281281
11 4 2 32 both left 1 right down NaN 1.664698 1.697928
11 4 2 33 none right 1 left left NaN 1.414690 1.448022
11 4 2 34 none left 1 left left NaN 1.331378 1.364621
11 4 2 35 outer left 1 up right NaN 1.581264 1.614507
11 4 2 36 outer right 1 up up NaN 1.414615 1.447954
11 4 2 37 both right 1 right down NaN 1.581283 1.614676
11 4 2 38 inner right 1 down right NaN 1.414543 1.447947
11 4 2 39 both left 1 down left NaN 1.602787 1.648005
11 4 2 40 none right NaN NaN left NaN 1.497956 1.531269
11 4 2 41 none right 1 down down NaN 1.581227 1.614486
11 4 2 42 both left NaN NaN down NaN 1.664689 1.697949
11 4 2 43 both left 1 right down NaN 1.431235 1.464485
11 4 2 44 both left 1 down left NaN 1.331498 1.364833
11 4 2 45 outer right 1 left down NaN 1.414675 1.447998
11 4 2 46 inner left 1 down left NaN 1.581304 1.614638
11 4 2 47 inner right 1 down down NaN 1.431287 1.464603
11 4 2 48 none left NaN NaN up NaN 0.000000 0.000000
11 5 1 1 none right 1 left up 0.608360 1.331202 1.364523
11 5 1 2 inner left 1 up up 0.241573 1.831307 1.864643
11 5 1 3 both right 1 left left 0.324996 1.910995 1.944659
11 5 1 4 none right 1 down down 0.158351 1.831385 1.864724
11 5 1 5 inner right 1 down down 0.158340 1.685508 1.731308
11 5 1 6 outer right 1 right right 0.074959 1.497990 1.531299
11 5 1 7 both right 1 down down 0.074953 1.331310 1.364647
11 5 1 8 outer right 1 right right 0.000000 1.498328 1.531651
11 5 1 9 inner left 1 up up 0.000000 1.664736 1.697951
11 5 1 10 inner left 1 up down 0.541705 1.681145 1.714459
11 5 1 11 inner left NaN NaN right NaN 0.000000 0.000000
11 5 1 12 outer right 1 left left 0.000000 1.247932 1.281276
11 5 1 13 inner left NaN NaN down NaN 1.248042 1.281318
11 5 1 14 both right 1 up up 0.000000 1.598512 1.631820
11 5 1 15 outer left 1 down down 0.000000 1.414650 1.447982
11 5 1 16 outer right 1 down down 0.000000 1.665304 1.698628
11 5 1 17 outer right 1 up up 0.000000 1.331370 1.364707
11 5 1 18 none left 1 down down 0.000000 1.498269 1.531598
11 5 1 19 none right 1 left left 0.000000 1.498021 1.531278
11 5 1 20 none right 1 down down 0.000000 1.597970 1.631295
11 5 1 21 outer left NaN NaN left NaN 1.331264 1.364591
11 5 1 22 none right 1 left up 0.458284 1.514602 1.547946
11 5 1 23 both right 1 left left 0.000000 1.494685 1.527956
11 5 1 24 both right 1 left right 0.608484 1.331405 1.364633
11 5 1 25 both right 1 up up 0.000000 1.331306 1.364528
11 5 1 26 outer left 1 right left 0.000000 1.664711 1.697970
11 5 1 27 both right 1 up up 0.000000 1.498048 1.531303
11 5 1 28 both left 1 right down 0.000000 1.664576 1.697952
11 5 1 29 outer right 1 up up 0.000000 1.331382 1.364635
11 5 1 30 none right 1 up up 0.000000 1.431794 1.465073
11 5 1 31 outer right 1 up up 0.000000 1.664705 1.697959
11 5 1 32 none left 1 left down 0.000000 1.331335 1.364656
11 5 1 33 inner left 1 down down 0.000000 1.681301 1.714621
11 5 1 34 both left 1 up up 0.000000 1.331292 1.364627
11 5 1 35 inner left 1 right right 0.000000 1.347931 1.381267
11 5 1 36 none right 1 left left 0.000000 1.347968 1.381361
11 5 1 37 inner right 1 up up 0.000000 1.331369 1.364633
11 5 1 38 inner left 1 down down 0.000000 1.414712 1.464969
11 5 1 39 none right 1 right right 0.000000 1.414721 1.448033
11 5 1 40 none left 1 right up 0.000000 1.248017 1.281342
11 5 1 41 outer right NaN NaN right NaN 1.414601 1.447938
11 5 1 42 both left 1 right right 0.000000 1.331247 1.364559
11 5 1 43 none right 1 right right 0.000000 1.247878 1.281226
11 5 1 44 inner right NaN NaN left NaN 1.498216 1.531472
11 5 1 45 both right 1 up up 0.000000 1.664988 1.698226
11 5 1 46 outer right 1 up up 0.000000 1.581243 1.614557
11 5 1 47 inner right 1 up up 0.000000 1.581255 1.614579
11 5 1 48 both left 1 up up 0.000000 1.598245 1.631558
11 6 2 1 outer right NaN NaN down NaN 0.000000 0.000000
11 6 2 2 outer left 1 right down NaN 1.414735 1.448067
11 6 2 3 both right 1 left down NaN 1.497973 1.531298
11 6 2 4 both right 1 up down NaN 1.414704 1.447949
11 6 2 5 both left 1 right right NaN 1.247651 1.281032
11 6 2 6 outer right 1 left left NaN 1.263925 1.297168
