person blockN blockType trial flankerSide targetSide respG respC targOri saccStart targDisplayLat dotRemoveTimeStamp targOnTimeStamp targOffTimeStamp
3 1 1 1 both right NaN NaN left NaN 0.100000 0.767420 0.898003 0.947974
3 1 1 2 none left 1 up left 0.181803 0.100000 1.049504 1.181268 1.231270
3 1 1 3 outer right 1 down right 0.216362 0.081803 0.849533 0.947975 0.998125
3 1 1 4 none left NaN NaN left NaN 0.099083 0.832868 0.947989 0.998049
3 1 1 5 outer right 1 up left 0.332847 0.099083 0.877906 0.992933 1.043010
3 1 1 6 inner left 1 up up 0.198515 0.116362 0.911893 1.060358 1.110384
3 1 1 7 none left 1 up right 0.199681 0.107439 1.199898 1.331673 1.381742
3 1 1 8 none right NaN NaN right NaN 0.099681 0.849331 0.981125 1.031129
3 1 1 9 outer right 1 down right 0.216361 0.099681 0.966247 1.097948 1.148022
3 1 1 10 both right 1 left down 0.216279 0.108021 1.212245 1.344083 1.394002
3 1 1 11 inner left NaN NaN down NaN 0.116279 NaN 0.000000 0.000000
3 1 1 12 both left 1 up right 0.198487 0.116279 1.066112 1.214571 1.264569
3 1 1 13 inner right 1 down left 0.249618 0.107980 0.982833 1.114563 1.164579
3 1 1 14 both left 0 up up 0.216209 0.116279 0.866370 1.014733 1.064730
3 1 1 15 inner right 1 left left 0.216352 0.116244 1.081998 1.230429 1.280424
3 1 1 16 both right 1 down left 0.216198 0.116279 1.061735 1.210029 1.260077
3 1 1 17 inner left 1 right right 0.199693 0.116244 0.764426 0.896211 0.946279
3 1 1 18 inner left 1 right left 0.199527 0.116209 1.066318 1.198009 1.248014
3 1 1 19 both right NaN NaN up NaN 0.116204 0.982910 1.114636 1.164709
3 1 1 20 outer left NaN NaN right NaN 0.116204 1.099561 1.247891 1.297956
3 1 1 21 inner left 1 up down 0.181839 0.116204 1.049468 1.181301 1.231276
3 1 1 22 none right NaN NaN down NaN 0.116198 NaN 0.000000 0.000000
3 1 1 23 none right 1 down down 0.216339 0.116198 1.032899 1.164644 1.214730
3 1 1 24 inner right NaN NaN up NaN 0.116204 NaN 0.000000 0.000000
3 1 1 25 outer left 1 right down 0.181766 0.116204 1.166297 1.298020 1.348030
3 1 1 26 inner right 1 down left 0.349629 0.116198 1.116206 1.247975 1.297921
3 1 1 27 outer right 1 right right 0.232979 0.116204 0.999865 1.131671 1.181602
3 1 1 28 outer left 1 left up 0.199607 0.116209 1.032872 1.164635 1.214633
3 1 1 29 none right 1 down up 0.216287 0.116204 1.164164 1.295912 1.345906
3 1 1 30 outer left 1 left up 0.181871 0.116209 1.130199 1.262064 1.312039
3 1 1 31 none right 1 right up 0.233017 0.116204 0.916256 1.048096 1.098072
3 1 1 32 inner left 1 right up 0.266276 0.116209 0.966089 1.097911 1.147921
3 1 1 33 outer left 1 left down 0.199603 0.116244 0.916302 1.047995 1.098062
3 1 1 34 outer left 1 left down 0.216302 0.116209 1.149511 1.281215 1.331214
3 1 1 35 none left 1 up up 0.174851 0.116244 1.129791 1.278079 1.328080
3 1 1 36 both right 1 right left 0.232914 0.116209 1.081871 1.213689 1.263618
3 1 1 37 both right 1 left right 0.232987 0.116244 1.178526 1.310313 1.360349
3 1 1 38 none left 1 up up 0.216312 0.116279 0.899474 1.047941 1.097944
3 1 1 39 both right 1 left down 0.233056 0.116283 0.916169 1.064636 1.114615
3 1 1 40 both left 1 right right 0.199586 0.116287 1.082913 1.214737 1.264734
3 2 2 1 outer right 1 down up NaN 0.116283 0.896473 1.044818 1.094814
3 2 2 2 outer left 0 up up NaN 0.116283 0.883542 1.015373 1.065378
3 2 2 3 inner right 1 up up NaN 0.116283 1.166331 1.314731 1.364727
3 2 2 4 both right 1 right down NaN 0.116283 0.950175 1.098583 1.148672
3 2 2 5 outer left 1 right down NaN 0.116283 1.249607 1.398003 1.448027
3 2 2 6 both left 1 right right NaN 0.116283 0.947141 1.095526 1.145694
3 2 2 7 outer left 1 right down NaN 0.116283 1.066303 1.214711 1.264653
3 2 2 8 both left 1 right up NaN 0.116283 0.950178 1.098447 1.148551
3 2 2 9 both right 1 up up NaN 0.116283 0.999610 1.147871 1.197895
3 2 2 10 both right 1 up down NaN 0.116283 0.933773 1.082157 1.132241
3 2 2 11 both left 1 right down NaN 0.116283 0.866908 1.015261 1.065271
3 2 2 12 outer left 1 right right NaN 0.116283 1.149561 1.298064 1.348067
3 2 2 13 inner left 1 right left NaN 0.116283 1.249598 1.397990 1.448010
3 2 2 14 inner right NaN NaN right NaN 0.116283 NaN 0.000000 0.000000
3 2 2 15 none right 1 down left NaN 0.116283 1.245883 1.377731 1.427728
3 2 2 16 none right NaN NaN down NaN 0.116283 NaN 0.000000 0.000000
3 2 2 17 inner left NaN NaN left NaN 0.116283 NaN 0.000000 0.000000
3 2 2 18 none left 1 up left NaN 0.116283 0.881099 1.029425 1.079485
3 2 2 19 inner right NaN NaN down NaN 0.116283 NaN 0.000000 0.000000
3 2 2 20 both left NaN NaN right NaN 0.116283 0.766192 0.914662 0.964660
3 2 2 21 outer left 1 right down NaN 0.116283 0.866313 1.014674 1.064745
3 2 2 22 inner left 1 left left NaN 0.116283 1.116272 1.264654 1.314699
3 2 2 23 none left NaN NaN down NaN 0.116283 1.116159 1.264511 1.314588
3 2 2 24 none right 1 left left NaN 0.116283 0.978559 1.126941 1.176897
3 2 2 25 both right 1 left down NaN 0.116283 1.016188 1.164617 1.214623
3 2 2 26 outer left 1 right down NaN 0.116283 1.049622 1.198053 1.248059
3 2 2 27 none right 1 down down NaN 0.116283 0.766244 0.914696 0.964658
3 2 2 28 outer right 1 up right NaN 0.116283 1.016358 1.148165 1.198164
3 2 2 29 none left 1 up up NaN 0.116283 1.114426 1.262794 1.312737
3 2 2 30 both left 1 right left NaN 0.116283 1.049695 1.197990 1.248003
3 2 2 31 both right 1 up up NaN 0.116283 0.799613 0.948036 0.998097
3 2 2 32 outer left 1 right down NaN 0.116283 0.782808 0.931285 0.981255
3 2 2 33 none right 1 up right NaN 0.116283 0.947556 1.095983 1.145981
3 2 2 34 inner right 1 left left NaN 0.116283 1.049579 1.198058 1.248056
3 2 2 35 inner left 1 right right NaN 0.116283 0.916106 1.047944 1.097920
3 2 2 36 outer left 1 up up NaN 0.116283 0.849559 0.981404 1.031397
3 2 2 37 none right 1 left right NaN 0.116283 1.183297 1.331735 1.381713
3 2 2 38 inner right 1 left down NaN 0.116283 1.099539 1.247896 1.297963
3 2 2 39 inner left 1 right down NaN 0.116283 1.149554 1.281386 1.331311
3 2 2 40 none left 1 left left NaN 0.116283 1.216262 1.348091 1.398083
3 3 1 1 none right 1 left left 0.232853 0.116283 1.047582 1.195915 1.245917
3 3 1 2 outer right 1 down down 0.198526 0.132853 0.932919 1.081348 1.131411
3 3 1 3 both right NaN NaN up NaN 0.115690 0.796643 0.928402 0.978464
3 3 1 4 none left 1 up up 0.199633 0.115690 1.182877 1.314664 1.364645
3 3 1 5 both right 1 right up 0.181726 0.099633 0.983044 1.114726 1.164736
3 3 1 6 inner left 1 right right 0.182984 0.099080 0.949480 1.064605 1.114613
3 3 1 7 none left 1 up left 0.199593 0.098526 0.966211 1.081368 1.131377
3 3 1 8 both right 1 down right 0.199509 0.099060 0.814930 0.930049 0.979914
3 3 1 9 none right NaN NaN down NaN 0.099509 NaN 0.000000 0.000000
3 3 1 10 outer right 1 right up 0.199646 0.099509 1.216166 1.331209 1.381285
3 3 1 11 inner left 1 up down 0.216356 0.099551 0.782941 0.898032 0.948032
3 3 1 12 both right 1 down left 0.232928 0.099593 0.782684 0.897920 0.947839
3 3 1 13 none right 1 right up 0.232922 0.099613 0.949618 1.081304 1.131304
3 3 1 14 inner left 0 up right 0.232922 0.099633 1.016173 1.147861 1.197932
3 3 1 15 none right NaN NaN right NaN 0.099639 1.133042 1.264647 1.314705
3 3 1 16 outer left 1 right down 0.181801 0.099639 0.999629 1.131386 1.181383
3 3 1 17 both right NaN NaN up NaN 0.099633 1.028166 1.160015 1.210016
3 3 1 18 outer right 1 down left 0.216291 0.099633 0.899658 1.031374 1.081364
3 3 1 19 both left 1 up up 0.183079 0.099639 0.865204 0.980374 1.030375
3 3 1 20 inner right 1 left down 0.199523 0.099633 1.116166 1.247910 1.297834
