person blockN blockType trial flankerSide targetSide respG respC targOri saccStart targDisplayLat dotRemoveTimeStamp targOnTimeStamp targOffTimeStamp
2 1 1 1 none right 0 up down 0.297580 0.100000 1.100787 1.231282 1.281313
2 1 1 2 none right NaN NaN up NaN 0.197580 1.049458 1.264600 1.314585
2 1 1 3 inner right NaN NaN right NaN 0.197580 NaN 0.000000 0.000000
2 1 1 4 none right 1 right right 0.299735 0.197580 0.832812 1.047952 1.097964
2 1 1 5 both right NaN NaN down NaN 0.198658 1.182915 1.398004 1.448086
2 1 1 6 inner left 0 right left 0.234860 0.198658 1.099668 1.314695 1.364764
2 1 1 7 outer right NaN NaN down NaN 0.197580 0.898338 1.113400 1.163481
2 1 1 8 both right NaN NaN down NaN 0.197580 0.849568 1.064728 1.114727
2 1 1 9 outer right NaN NaN down NaN 0.197580 1.233896 1.448926 1.499015
2 1 1 10 both right NaN NaN left NaN 0.197580 1.016148 1.231231 1.281235
2 1 1 11 outer left NaN NaN down NaN 0.197580 0.899488 1.114561 1.164605
2 1 1 12 both right 1 left up 0.449535 0.197580 0.912742 1.127776 1.177772
2 1 1 13 both left 1 left down 0.215113 0.198658 1.099455 1.314545 1.364486
2 1 1 14 inner right NaN NaN down NaN 0.197580 0.966288 1.181444 1.231431
2 1 1 15 outer right NaN NaN up NaN 0.197580 0.999762 1.214756 1.264747
2 1 1 16 both left NaN NaN up NaN 0.197580 1.116188 1.331239 1.381238
2 1 1 17 both right NaN NaN right NaN 0.197580 NaN 0.000000 0.000000
2 1 1 18 outer left 0 up right 0.215106 0.197580 0.832846 1.047940 1.097942
2 1 1 19 inner right NaN NaN right NaN 0.166220 1.049640 1.248063 1.298051
2 1 1 20 both left NaN NaN left NaN 0.166220 NaN 0.000000 0.000000
2 1 1 21 outer left NaN NaN down NaN 0.166220 0.849434 1.031296 1.081262
2 1 1 22 outer right NaN NaN left NaN 0.166220 0.832107 1.030355 1.080385
2 1 1 23 outer right NaN NaN right NaN 0.166220 0.813282 0.995135 1.045175
2 1 1 24 inner left 1 right up 0.366292 0.166220 0.882892 1.081365 1.131315
2 1 1 25 inner left 1 left right 0.349575 0.197580 0.798702 1.013754 1.063751
2 1 1 26 inner left NaN NaN up NaN 0.198658 1.231852 1.446957 1.496958
2 1 1 27 none left NaN NaN down NaN 0.198658 0.866406 1.081394 1.131400
2 1 1 28 none left NaN NaN left NaN 0.198658 0.966271 1.181363 1.231365
2 1 1 29 inner left 1 right left 0.215096 0.198658 0.982938 1.198053 1.248048
2 1 1 30 none right 1 up right 0.416342 0.197580 0.816182 1.031346 1.081333
2 1 1 31 inner left NaN NaN down NaN 0.198658 1.061276 1.276339 1.326353
2 1 1 32 none right NaN NaN up NaN 0.198658 NaN 0.000000 0.000000
2 1 1 33 inner right NaN NaN down NaN 0.198658 NaN 0.000000 0.000000
2 1 1 34 outer right NaN NaN right NaN 0.198658 1.249669 1.464674 1.514740
2 1 1 35 none left 1 right right 0.241520 0.198658 0.783004 0.998069 1.048065
2 1 1 36 both right NaN NaN down NaN 0.197580 1.145988 1.361040 1.411024
2 1 1 37 none right NaN NaN right NaN 0.197580 NaN 0.000000 0.000000
2 1 1 38 none left 1 left left 0.416236 0.197580 1.214666 1.429732 1.479651
2 1 1 39 both right NaN NaN up NaN 0.198658 NaN 0.000000 0.000000
2 1 1 40 outer left NaN NaN up NaN 0.198658 1.132905 1.348053 1.398057
2 2 2 1 inner right 1 right down NaN 0.198658 1.249483 1.464597 1.514602
2 2 2 2 none left 1 up right NaN 0.198658 1.016243 1.231320 1.281323
2 2 2 3 both left 1 left down NaN 0.198658 1.049662 1.264800 1.314734
2 2 2 4 both left 1 up right NaN 0.198658 0.849496 1.064628 1.114628
2 2 2 5 none right 1 down down NaN 0.198658 0.795809 1.010886 1.060894
2 2 2 6 none right NaN NaN left NaN 0.198658 NaN 0.000000 0.000000
2 2 2 7 inner left NaN NaN right NaN 0.198658 NaN 0.000000 0.000000
2 2 2 8 both left NaN NaN up NaN 0.198658 NaN 0.000000 0.000000
2 2 2 9 none right NaN NaN up NaN 0.198658 NaN 0.000000 0.000000
2 2 2 10 outer right 1 up right NaN 0.198658 1.049487 1.264664 1.314673
2 2 2 11 inner left 1 down down NaN 0.198658 1.249705 1.464663 1.514765
2 2 2 12 inner right 1 right down NaN 0.198658 1.082709 1.297793 1.347811
2 2 2 13 both left 1 up right NaN 0.198658 1.049179 1.264202 1.314213
