person blockN blockType trial flankerSide targetSide respG respC targOri saccStart targOnTimeStamp targOffTimeStamp
8 1 1 1 none right 0 NaN left NaN 0.000000 0.000000
8 1 1 2 outer right 0 NaN left NaN 1.681672 1.715002
8 1 1 3 outer right 0 NaN left NaN 1.298071 1.331322
8 1 1 4 none right 0 NaN up NaN 1.664761 1.698076
8 1 1 5 inner left 0 NaN down NaN 1.731336 1.764565
8 1 1 6 inner right 0 NaN left NaN 1.731317 1.764574
8 1 1 7 outer right 0 NaN down NaN 1.664730 1.698000
8 1 1 8 none right 0 NaN left NaN 0.000000 0.000000
8 1 1 9 inner right 0 NaN left NaN 0.000000 0.000000
8 1 1 10 inner left 1 left left 0.074277 1.648063 1.681323
8 1 1 11 outer left 0 NaN left NaN 0.000000 0.000000
8 1 1 12 none right 0 NaN right NaN 0.000000 0.000000
8 1 1 13 outer left 0 left up 1756.751126 1.331423 1.364750
8 1 1 14 none left 0 left left 0.658341 2.997997 3.031253
8 1 1 15 none left 0 left left 1.274945 1.997857 2.031209
8 1 1 16 none right 1 right up 0.575194 2.231335 2.264653
8 1 1 17 none left 0 NaN right NaN 0.000000 0.000000
8 1 1 18 none right 0 NaN down NaN 1.914578 1.947896
8 1 1 19 inner right 1 down up 0.241849 2.147909 2.181240
8 1 1 20 outer left 0 NaN left NaN 0.000000 0.000000
8 1 1 21 outer right 0 NaN down NaN 0.000000 0.000000
8 1 1 22 outer left 1 down down 0.324942 1.998083 2.031327
8 1 1 23 inner right 1 down up 0.408296 1.831234 1.864503
8 1 1 24 none left 0 NaN right NaN 0.000000 0.000000
8 1 1 25 outer right 1 down down 0.941772 1.914770 1.948022
8 1 1 26 inner right 1 down left 0.241661 2.014715 2.047981
8 1 1 27 inner right 0 down down 0.325059 1.914726 1.947993
8 1 1 28 none left 1 down left 0.241697 1.497940 1.531260
8 1 1 29 outer left 1 down up 0.858517 1.748063 1.781314
8 1 1 30 inner left 1 down down 0.241672 1.496242 1.529488
8 1 1 31 inner left 1 right right 0.241696 1.748038 1.781310
8 1 1 32 outer right 0 NaN down NaN 1.747431 1.780685
8 1 1 33 inner left 1 down down 0.774810 1.748242 1.781515
8 1 1 34 none left 0 NaN left NaN 1.581091 1.614394
8 1 1 35 outer left 1 down right 0.241750 1.914666 1.947929
8 1 1 36 inner left 0 NaN up NaN 0.000000 0.000000
8 2 2 1 none left 1 down up NaN 1.831342 1.864672
8 2 2 2 none right 1 up up NaN 1.414640 1.448038
8 2 2 3 inner right 1 up up NaN 1.831521 1.864855
8 2 2 4 outer right 1 up up NaN 1.497979 1.531298
8 2 2 5 inner left 0 left right NaN 1.581246 1.614549
8 2 2 6 inner right 0 up up NaN 1.747982 1.781313
8 2 2 7 inner left 0 up up NaN 1.664861 1.698186
8 2 2 8 outer right 0 left right NaN 1.748020 1.781304
8 2 2 9 none right 1 left right NaN 1.748075 1.781337
8 2 2 10 outer right 1 left down NaN 1.748072 1.781330
8 2 2 11 none left 1 down down NaN 1.664542 1.697860
8 2 2 12 none left 1 down down NaN 1.664652 1.697994
8 2 2 13 none left 0 down up NaN 1.581365 1.614626
8 2 2 14 inner left 1 down left NaN 1.664560 1.697899
8 2 2 15 outer left 1 down down NaN 1.581331 1.614578
8 2 2 16 outer right 1 down down NaN 1.664637 1.698039
8 2 2 17 inner right 0 right right NaN 1.664647 1.698046
8 2 2 18 outer right 1 down left NaN 1.747949 1.781195
8 2 2 19 outer right 1 down left NaN 1.748016 1.781317
8 2 2 20 outer left 1 down down NaN 1.414692 1.447952
8 2 2 21 none right 1 down left NaN 1.831228 1.864580
8 2 2 22 outer left 0 down down NaN 1.414696 1.448099
8 2 2 23 inner right 0 down down NaN 1.664666 1.698049
8 2 2 24 inner right 1 down down NaN 1.431388 1.464722
8 2 2 25 none right 1 right left NaN 1.831860 1.865184
8 2 2 26 outer left 1 down up NaN 1.581410 1.614691
8 2 2 27 none left 1 down right NaN 1.415708 1.449037
8 2 2 28 none left 1 up up NaN 1.747898 1.781223
8 2 2 29 outer left 1 up left NaN 1.581416 1.614678
8 2 2 30 none right 1 down up NaN 1.664669 1.698051
8 2 2 31 outer left 0 NaN left NaN 0.000000 0.000000
8 2 2 32 inner right 1 down right NaN 1.415157 1.448354
8 2 2 33 inner left 1 down left NaN 1.414668 1.448077
8 2 2 34 none right 0 down down NaN 1.831904 1.865139
8 2 2 35 inner right 0 down up NaN 1.435234 1.481332
8 2 2 36 inner left 0 NaN down NaN 0.000000 0.000000
8 3 1 1 none left 1 down down 0.158274 1.679138 1.712457
8 3 1 2 inner left 1 down left 0.608268 1.414424 1.447759
8 3 1 3 outer right 1 down up 0.241637 1.579144 1.612398
8 3 1 4 inner right 0 NaN left NaN 1.431636 1.464898
8 3 1 5 none right 1 up left 0.075030 1.748091 1.781332
8 3 1 6 outer right 1 left left 0.074885 1.664482 1.697733
8 3 1 7 none left 1 down up 0.000000 1.662044 1.695289
8 3 1 8 none right 1 down left 0.000000 1.331116 1.364479
8 3 1 9 inner left 1 down left 2215.288079 1.514583 1.547927
8 3 1 10 outer right 1 down up 0.000000 1.702288 1.748234
8 3 1 11 inner right 0 NaN right NaN 1.515026 1.548356
8 3 1 12 outer right 1 down up 2227.821608 1.432147 1.465409
8 3 1 13 outer left 0 NaN left NaN 0.000000 0.000000
8 3 1 14 outer right 1 down up 0.000000 1.581355 1.614676
8 3 1 15 none left 1 down right 2238.954943 1.180994 1.214324
8 3 1 16 inner right 0 NaN down NaN 0.000000 0.000000
8 3 1 17 none left 0 NaN left NaN 0.000000 0.000000
8 3 1 18 inner right 0 NaN right NaN 1.247931 1.281184
8 3 1 19 outer right 0 NaN up NaN 1.414667 1.447925
8 3 1 20 inner left 1 down down 0.000000 1.331374 1.364764
8 3 1 21 inner right 1 down down 2259.555090 1.497972 1.531139
8 3 1 22 inner right 1 left left 0.000000 1.331250 1.364581
8 3 1 23 none left 1 down up 2267.721857 1.181212 1.214534
8 3 1 24 inner right 0 NaN right NaN 1.331122 1.364385
8 3 1 25 inner left 1 down left 0.441678 1.664615 1.697869
8 3 1 26 none left 1 up left 0.525312 1.496908 1.530158
8 3 1 27 outer left 0 NaN down NaN 1.497956 1.531225
8 3 1 28 inner right 1 left down 0.075034 1.581308 1.614649
8 3 1 29 outer left 1 down right 0.000000 1.247794 1.281119
8 3 1 30 none right 0 NaN right NaN 1.414499 1.447804
8 3 1 31 outer left 0 NaN down NaN 1.581311 1.614632
8 3 1 32 outer right 0 NaN up NaN 1.431308 1.464626
8 3 1 33 none left 1 down left 0.000000 1.281315 1.314644
8 3 1 34 none left 1 left left 2310.755564 1.181045 1.214388
8 3 1 35 outer left 1 down left 0.000000 1.331220 1.364477
8 3 1 36 none left 1 left left 2319.455575 1.595385 1.628669
8 4 2 1 none right 1 down down NaN 1.248015 1.281269
8 4 2 2 outer left 1 down left NaN 1.331362 1.364694
8 4 2 3 outer left 0 NaN up NaN 0.000000 0.000000
8 4 2 4 inner left 0 NaN up NaN 0.000000 0.000000
8 4 2 5 none right 1 left left NaN 1.414707 1.448045
8 4 2 6 inner left 1 right up NaN 1.331294 1.364638
8 4 2 7 none left 0 NaN right NaN 1.664599 1.697927
8 4 2 8 inner right 0 NaN up NaN 0.000000 0.000000
8 4 2 9 none right 1 left right NaN 1.331338 1.364593
8 4 2 10 inner left 1 down up NaN 1.248002 1.281303
8 4 2 11 outer right 1 up down NaN 1.331323 1.364730
8 4 2 12 none left 1 down up NaN 1.498063 1.531317
8 4 2 13 none right 0 up right NaN 1.498907 1.532170
8 4 2 14 inner left 1 up left NaN 1.414588 1.447913
8 4 2 15 none left 1 down up NaN 1.414662 1.447924
8 4 2 16 inner right 1 down down NaN 1.598130 1.631391
8 4 2 17 outer left 1 down down NaN 1.414666 1.447896
8 4 2 18 inner right 1 up down NaN 1.331249 1.364570
8 4 2 19 outer left 1 up right NaN 1.498634 1.531886
8 4 2 20 none left 0 NaN up NaN 0.000000 0.000000
8 4 2 21 inner left 0 down right NaN 1.498033 1.531274
8 4 2 22 inner left 1 down right NaN 1.664635 1.698034
8 4 2 23 outer left 0 NaN up NaN 1.331312 1.364621
8 4 2 24 inner left 1 right right NaN 1.414731 1.448063
8 4 2 25 outer left 0 NaN left NaN 0.000000 0.000000
8 4 2 26 none left 0 NaN down NaN 0.000000 0.000000
8 4 2 27 none left 0 NaN left NaN 0.000000 0.000000
8 4 2 28 none right 1 down up NaN 1.348039 1.381355
8 4 2 29 outer left 0 down down NaN 1.331206 1.364530
8 4 2 30 inner right 0 NaN left NaN 1.598071 1.631333
8 4 2 31 none right 1 down right NaN 1.664437 1.697757
8 4 2 32 inner left 1 up up NaN 1.331350 1.364645
8 4 2 33 outer right 0 up down NaN 1.498048 1.531386
8 4 2 34 outer right 1 up up NaN 1.248013 1.281285
8 4 2 35 outer right 1 up up NaN 1.414617 1.447952
8 4 2 36 outer left 1 up right NaN 1.414593 1.447931
8 5 1 1 none left 1 down up 0.000000 1.331387 1.364640
8 5 1 2 none right 0 NaN up NaN 1.164690 1.197944
8 5 1 3 inner right 0 NaN down NaN 0.000000 0.000000
8 5 1 4 none left 0 NaN left NaN 1.414580 1.447911
8 5 1 5 outer right 1 right up 2656.941612 1.347804 1.381051
8 5 1 6 outer left 1 down left 0.258398 2.947995 2.981283
8 5 1 7 none right 1 down down 0.096199 1.531311 1.564630
8 5 1 8 inner left 0 NaN left NaN 0.000000 0.000000
8 5 1 9 outer left 1 up left 0.074997 1.514459 1.547790
8 5 1 10 inner right 1 down up 2679.525094 1.514670 1.547918
8 5 1 11 none right 1 down down 0.074989 1.598017 1.631354
8 5 1 12 inner left 1 right left 2687.958419 1.264520 1.297827
8 5 1 13 none left 0 up right 0.507434 1.432117 1.465412
8 5 1 14 inner right 0 NaN left NaN 1.845760 1.879008
8 5 1 15 inner right 0 left left 0.075190 1.414582 1.447844
8 5 1 16 none left 1 right right 0.074969 1.414955 1.448191
8 5 1 17 outer left 0 NaN up NaN 1.347176 1.380425
8 5 1 18 outer right 1 left left 2714.275338 1.431369 1.464627
8 5 1 19 inner left 1 down down 0.074768 1.749019 1.781205
8 5 1 20 inner left 1 left left 2722.892084 1.160476 1.193715
8 5 1 21 inner left 1 down up 0.691616 1.331291 1.364546
8 5 1 22 none left 0 NaN right NaN 1.664509 1.698084
8 5 1 23 outer right 1 right left 0.158344 1.747781 1.781046
8 5 1 24 inner right 1 right right 0.075256 1.414631 1.448206
8 5 1 25 outer right 1 right up 0.608569 1.414605 1.447867
8 5 1 26 outer left 1 left left 0.075252 1.347712 1.381042
8 5 1 27 inner left 1 right right 0.000000 1.578624 1.611938
