person blockN blockType trial flankerSide targetSide respG respC targOri saccStart targOnTimeStamp targOffTimeStamp
10 3 1 30 none left 1 down left 0.074920 1.431302 1.464509
10 3 1 31 none right 1 right right 0.708347 1.764605 1.797929
10 3 1 32 outer right 1 right up 0.541475 1.514664 1.547897
10 3 1 33 inner right 1 down up 0.691879 1.582083 1.615350
10 3 1 34 outer right 1 down right 0.791611 1.764620 1.797887
10 3 1 35 inner right NaN NaN down NaN 1.681575 1.714811
10 3 1 36 inner right 1 down down 0.158367 1.847891 1.881230
10 4 2 1 inner left 1 down up NaN 1.348257 1.381588
10 4 2 2 outer left 1 down right NaN 1.431369 1.464610
10 4 2 3 outer left 0 left down NaN 1.431658 1.464986
10 4 2 4 outer left 0 up up NaN 1.681200 1.714458
10 4 2 5 inner left 1 down left NaN 1.431344 1.464598
10 4 2 6 none right 0 right down NaN 1.414631 1.447957
10 4 2 7 inner right 1 up left NaN 1.764620 1.797925
10 4 2 8 none right 1 down left NaN 1.348012 1.381307
10 4 2 9 outer right 1 right right NaN 1.764636 1.798030
10 4 2 10 inner left 1 down down NaN 1.681350 1.714595
10 4 2 11 inner right 1 up left NaN 1.431335 1.464594
10 4 2 12 outer left 0 right up NaN 1.514595 1.547839
10 4 2 13 inner left 0 right left NaN 1.431178 1.464444
10 4 2 14 none left 1 right right NaN 1.431238 1.464477
10 4 2 15 none right 1 right right NaN 1.497870 1.531126
10 4 2 16 inner left 0 right left NaN 1.497904 1.531233
10 4 2 17 none left 1 up left NaN 1.681253 1.714518
10 4 2 18 inner left 0 left up NaN 1.597850 1.631180
10 4 2 19 inner right 1 right right NaN 1.514513 1.547757
10 4 2 20 none left 0 up right NaN 1.681351 1.714599
10 4 2 21 outer left 0 right down NaN 1.347914 1.381152
10 4 2 22 none left 0 right right NaN 1.514521 1.547773
10 4 2 23 outer left 1 right right NaN 1.597882 1.631218
10 4 2 24 inner left 0 down down NaN 1.414540 1.447881
10 4 2 25 none left 1 down down NaN 1.431295 1.464598
10 4 2 26 inner right 1 up left NaN 1.597960 1.631208
10 4 2 27 outer left 1 right left NaN 1.764655 1.797966
10 4 2 28 outer right 1 right up NaN 1.764602 1.797806
10 4 2 29 none right 1 down up NaN 1.414512 1.447869
10 4 2 30 inner left 0 left left NaN 1.431262 1.464579
10 4 2 31 outer left 1 up down NaN 1.343021 1.393410
10 4 2 32 outer right 1 down up NaN 1.681264 1.714549
10 4 2 33 none right 1 up up NaN 1.431340 1.464599
10 4 2 34 none right 1 down up NaN 1.595398 1.628727
10 4 2 35 none right 1 up right NaN 1.682104 1.714614
10 4 2 36 outer right 1 right right NaN 1.348029 1.381291
10 5 1 1 inner left NaN NaN down NaN 0.000000 0.000000
10 5 1 2 outer left 1 down right 0.074950 1.514679 1.548013
10 5 1 3 outer left 1 right down 11636.790201 1.347848 1.381129
10 5 1 4 none right 1 down right 0.241428 2.765052 2.798246
10 5 1 5 outer right 0 right left 0.074817 1.681378 1.714608
10 5 1 6 outer left NaN NaN down NaN 1.181992 1.215301
10 5 1 7 none right 1 down down 0.000000 1.264559 1.297895
10 5 1 8 inner right 0 right left 11657.840321 1.264648 1.298036
10 5 1 9 outer right 1 down down 0.000000 1.681587 1.714992
10 5 1 10 inner left NaN NaN up NaN 1.447992 1.481257
10 5 1 11 inner left 1 right up 11672.357086 1.514585 1.547925
10 5 1 12 inner right 1 down up 0.000000 1.431322 1.464579
10 5 1 13 inner right NaN NaN up NaN 1.598582 1.631795
10 5 1 14 none left 1 down down 11683.890514 1.347869 1.381122
10 5 1 15 outer right NaN NaN down NaN 1.264586 1.297853
10 5 1 16 inner left 1 down right 0.458448 1.514627 1.547964
10 5 1 17 none left 1 right down 0.541585 1.597899 1.631287
10 5 1 18 none left 1 right right 0.241820 1.681284 1.714526
10 5 1 19 inner left NaN NaN up NaN 1.781280 1.814493
10 5 1 20 outer right 1 right right 0.708106 1.347878 1.381142
10 5 1 21 outer right 1 right up 0.241557 1.677834 1.711078
10 5 1 22 none left NaN NaN up NaN 1.764647 1.797908
10 5 1 23 outer right 1 right right 0.074850 1.431261 1.464573
10 5 1 24 inner right 1 right down 0.074880 1.514536 1.547796
10 5 1 25 inner right 1 down down 0.074903 1.515314 1.548615
10 5 1 26 outer left NaN NaN left NaN 1.764560 1.797845
10 5 1 27 outer left 1 right up 0.074894 1.514644 1.547979
10 5 1 28 none left 1 down down 0.074826 1.347875 1.381204
10 5 1 29 none right 1 down up 0.000000 1.497880 1.531112
10 5 1 30 inner left 1 up left 11752.174485 1.431261 1.464598
10 5 1 31 none right NaN NaN down NaN 1.597895 1.631245
10 5 1 32 none left NaN NaN right NaN 1.431283 1.464553
10 5 1 33 inner left 1 right right 0.000000 1.598012 1.631328
10 5 1 34 none right 0 up right 11767.658002 1.181212 1.214465
10 5 1 35 none left 1 right left 0.000000 1.264685 1.297948
10 5 1 36 outer left 1 down right 11776.174586 1.514567 1.547825
10 6 2 1 inner left 1 down left NaN 1.514533 1.547858
10 6 2 2 inner right 1 right right NaN 1.264663 1.297970
10 6 2 3 outer right 1 left right NaN 1.514685 1.547938
10 6 2 4 inner right 1 right up NaN 1.347936 1.397877
10 6 2 5 none left 1 down down NaN 1.347844 1.381172
10 6 2 6 outer left 1 up up NaN 1.431261 1.464594
10 6 2 7 none right 0 right right NaN 1.598013 1.631220
10 6 2 8 outer left 1 down up NaN 1.431160 1.464485
10 6 2 9 none left 1 right left NaN 1.364657 1.397898
10 6 2 10 inner right 0 up right NaN 1.598008 1.631293
10 6 2 11 none right 1 down up NaN 1.594148 1.627514
10 6 2 12 outer left 0 up up NaN 1.681282 1.714595
10 6 2 13 none left 1 up right NaN 1.531431 1.564772
10 6 2 14 none left 1 down down NaN 1.681219 1.714485
10 6 2 15 inner left 1 up down NaN 1.431312 1.464565
10 6 2 16 none left 1 right up NaN 1.364612 1.397934
10 6 2 17 outer right 1 down down NaN 1.347946 1.381343
10 6 2 18 outer left 1 right left NaN 1.364526 1.397844
