person blockN blockType trial flankerSide targetSide respG respC targOri saccStart targOnTimeStamp targOffTimeStamp
9 1 1 1 outer left 1 up up 0.072144 1.682311 1.715671
9 1 1 2 outer left 1 right left 21068.108747 1.597887 1.631222
9 1 1 3 none left 1 right right 0.241660 3.014585 3.047834
9 1 1 4 inner left NaN NaN left NaN 0.000000 0.000000
9 1 1 5 none right 1 right right 0.691632 1.414670 1.447983
9 1 1 6 none right 0 left left 0.241501 1.831310 1.864665
9 1 1 7 inner right 1 left left 0.075063 1.581172 1.614480
9 1 1 8 inner left NaN NaN down NaN 0.000000 0.000000
9 1 1 9 inner left 1 down down 0.074817 1.681409 1.714614
9 1 1 10 none left NaN NaN left NaN 0.000000 0.000000
9 1 1 11 inner right 1 right right 0.075170 1.414675 1.447951
9 1 1 12 none left 1 down down 0.000000 1.497824 1.531232
9 1 1 13 outer left NaN NaN up NaN 1.176377 1.209668
9 1 1 14 inner left 1 down right 21111.409089 1.176689 1.209962
9 1 1 15 outer right 1 left left 0.000000 1.598042 1.631320
9 1 1 16 none right 1 down down 21118.959166 1.264590 1.297847
9 1 1 17 none right 1 right right 0.000000 1.247956 1.298220
9 1 1 18 none left NaN NaN up NaN 0.000000 0.000000
9 1 1 19 outer left 0 right down 21127.992505 1.265631 1.298956
9 1 1 20 outer left 1 right up 0.000000 1.597944 1.631210
9 1 1 21 inner left NaN NaN right NaN 0.000000 0.000000
9 1 1 22 outer right 1 up down 21138.292622 1.264610 1.297874
9 1 1 23 none left 1 up up 0.624910 1.426595 1.459849
9 1 1 24 outer left 1 down down 0.074833 1.431280 1.464498
9 1 1 25 outer left NaN NaN right NaN 1.514614 1.547869
9 1 1 26 outer left NaN NaN down NaN 1.431270 1.464522
9 1 1 27 inner right 1 left left 0.000000 1.264564 1.297823
9 1 1 28 inner right 1 right up 21160.159469 1.181289 1.214542
9 1 1 29 none left NaN NaN up NaN 0.000000 0.000000
9 1 1 30 inner right 1 right right 0.000000 1.260808 1.294087
9 1 1 31 outer left NaN NaN right NaN 1.426526 1.459795
9 1 1 32 inner left NaN NaN left NaN 1.447920 1.481154
9 1 1 33 inner right 1 down down 21176.909641 1.428178 1.461510
9 1 1 34 none right 1 left down 0.000000 1.597996 1.631298
9 1 1 35 none right 1 left up 21184.276362 1.364614 1.397874
9 1 1 36 outer right 1 left left 0.000000 1.431269 1.464583
9 2 2 1 inner left 1 down down NaN 1.181195 1.214511
9 2 2 2 outer left 1 up down NaN 1.582087 1.615420
9 2 2 3 none right 1 down down NaN 1.429515 1.462858
9 2 2 4 none right 1 down down NaN 1.497908 1.531237
9 2 2 5 inner left 1 right up NaN 1.264635 1.297907
9 2 2 6 outer right 1 up up NaN 1.515419 1.548778
9 2 2 7 outer left 1 down right NaN 1.514585 1.547844
9 2 2 8 none right 1 up up NaN 1.431343 1.464566
9 2 2 9 none right 1 left up NaN 1.431286 1.464598
9 2 2 10 outer left 1 down right NaN 1.431142 1.464553
9 2 2 11 outer right 1 down right NaN 1.347971 1.381295
9 2 2 12 outer left 1 down down NaN 1.514634 1.547895
9 2 2 13 outer right 1 up right NaN 1.514574 1.547840
9 2 2 14 inner right NaN NaN right NaN 0.000000 0.000000
9 2 2 15 inner right 1 left right NaN 1.498034 1.531298
9 2 2 16 outer left 1 down down NaN 1.347955 1.381218
9 2 2 17 outer left 1 up down NaN 1.264571 1.297780
9 2 2 18 inner left 1 left up NaN 1.597935 1.631195
9 2 2 19 inner right 1 down right NaN 1.597953 1.631217
9 2 2 20 inner right 1 down down NaN 1.347928 1.381167
9 2 2 21 inner left NaN NaN right NaN 1.431213 1.464487
9 2 2 22 none left 0 up up NaN 1.597909 1.631161
9 2 2 23 outer right 1 down left NaN 1.264579 1.297814
9 2 2 24 inner right 1 left up NaN 1.264584 1.297855
9 2 2 25 none right 1 right left NaN 1.597896 1.631166
9 2 2 26 inner left 1 up up NaN 1.181212 1.214474
9 2 2 27 none left 1 down down NaN 1.514617 1.547863
9 2 2 28 none right 1 down right NaN 1.597979 1.631271
9 2 2 29 inner right NaN NaN left NaN 0.000000 0.000000
9 2 2 30 none left 1 down left NaN 1.414751 1.448093
9 2 2 31 inner left 1 up down NaN 1.514602 1.547928
9 2 2 32 none right 1 down down NaN 1.431184 1.464504
9 2 2 33 none left NaN NaN down NaN 0.000000 0.000000
9 2 2 34 none left 1 up up NaN 1.347972 1.381262
9 2 2 35 outer right NaN NaN right NaN 0.000000 0.000000
9 2 2 36 outer right 1 left down NaN 1.597924 1.631186
9 3 1 1 inner left NaN NaN right NaN 1.264670 1.298011
9 3 1 2 inner left NaN NaN up NaN 1.181282 1.214554
9 3 1 3 outer left NaN NaN down NaN 0.000000 0.000000
9 3 1 4 none right NaN NaN right NaN 1.181357 1.214690
9 3 1 5 outer left 1 right right 21345.877683 1.262615 1.295946
9 3 1 6 outer left 1 up up 0.241793 3.181247 3.214576
9 3 1 7 none right 1 left left 0.324867 2.764554 2.797881
9 3 1 8 inner right NaN NaN up NaN 0.000000 0.000000
9 3 1 9 outer right 1 right right 0.158242 1.845323 1.878691
9 3 1 10 none left NaN NaN up NaN 1.581248 1.614518
9 3 1 11 inner right 1 up up 0.158278 1.597931 1.631149
9 3 1 12 none left 1 right right 0.075113 1.664688 1.697956
9 3 1 13 inner right 1 left left 0.074817 1.764556 1.797806
9 3 1 14 none right 1 left left 0.000000 1.597951 1.647941
